Year,Host_City,Host_Country,Total_Males,Total_Females,Total_Athletes,Summer,Winter,Discipline,Sport,Ath_Name,Gender,NOC,Home_Adv,Gold,Silver,Bronze,Total_Medals,NOC_Gold,NOC_Silver,NOC_Bronze,NOC_Total_Medals,NOC_Rating,NOC_Rank
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"GRODOTZKI, Hans",Men,EUA,False,0,2,0,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Freestyle,Wrestling,"DIETRICH, Wilfried",Men,EUA,False,1,1,0,2,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"SIEGMUND, Günter",Men,EUA,False,0,0,1,1,13,22,12,47,95,3
1960,Rome,ITA,4727,611,5338,True,False,Gymnastics Artistic,Gymnastics,"EKMAN, Eugen",Men,FIN,False,1,0,0,1,1,1,3,5,8,17
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"LANDSTRÖM, Eeles",Men,FIN,False,0,0,1,1,1,1,3,5,8,17
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"LEHTELÄ, Veli",Men,FIN,False,0,0,1,1,1,1,3,5,8,17
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"LIMMONEN, Jorma",Men,FIN,False,0,0,1,1,1,1,3,5,8,17
1960,Rome,ITA,4727,611,5338,True,False,Shooting,Shooting,"LINNOSVUO, Pentti",Men,FIN,False,0,1,0,1,1,1,3,5,8,17
1960,Rome,ITA,4727,611,5338,True,False,Eventing,Equestrian,"LE GOFF, Jack",Men,FRA,False,0,0,1,1,0,2,3,5,7,18
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Greco-Roman,Wrestling,"SCHIERMEYER, René",Men,FRA,False,0,0,1,1,0,2,3,5,7,18
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"DUMONTOIS, Robert",Men,FRA,False,0,1,0,1,0,2,3,5,7,18
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"SEYE, Abdoulaye",Men,FRA,False,0,0,1,1,0,2,3,5,7,18
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"JAZY, Michel",Men,FRA,False,0,1,0,1,0,2,3,5,7,18
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"SHIRLEY, Dorothy",Women,GBR,False,0,1,0,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"QUINTON, Carole",Women,GBR,False,0,1,0,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Diving,Aquatics,"FERRIS, Elizabeth",Women,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"LONSBROUGH, Anita",Women,GBR,False,1,0,0,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Swimming,Aquatics,"STEWARD, Natalie",Women,GBR,False,0,1,1,2,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"HYMAN, Dorothy",Women,GBR,False,0,1,1,2,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"JAY, Allan",Men,GBR,False,0,2,0,2,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"ALEXANDER, Michael",Men,GBR,False,0,1,0,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Jumping,Equestrian,"BROOME, David",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Weightlifting,Weightlifting,"MARTIN, Louis",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
1960,Rome,ITA,4727,611,5338,True,False,Boxing,Boxing,"FISHER, William",Men,GBR,False,0,0,1,1,2,7,13,22,33,9
