Year,Host_City,Host_Country,Summer,Winter,Discipline,Sport,Event,Ath_Name,Gender,NOC,Home_Adv,Medal,Gold,Silver,Bronze,Total_Medals,Age
2004,Athens,GRC,True,False,Taekwondo,Taekwondo,58 - 68 kg,"HUANG, Chih-Hsiung",Men,TPE,False,Silver,0,1,0,1,
2004,Athens,GRC,True,False,Taekwondo,Taekwondo,58 - 68 kg,"SAEI, Hadi",Men,IRI,False,Gold,1,0,0,1,28.0
2004,Athens,GRC,True,False,Taekwondo,Taekwondo,58 - 68 kg,"SONG, Myeong Seob",Men,KOR,False,Bronze,0,0,1,1,20.0
2004,Athens,GRC,True,False,Boxing,Boxing,57 - 60kg,"KHAN, Amir",Men,GBR,False,Silver,0,1,0,1,18.0
2004,Athens,GRC,True,False,Boxing,Boxing,57 - 60kg,"KHRACHEV, Murat",Men,RUS,False,Bronze,0,0,1,1,21.0
2004,Athens,GRC,True,False,Boxing,Boxing,57 - 60kg,"KINDELAN, Mario",Men,CUB,False,Gold,1,0,0,1,33.0
2004,Athens,GRC,True,False,Boxing,Boxing,57 - 60kg,"YELEUOV, Serik",Men,KAZ,False,Bronze,0,0,1,1,24.0
2004,Athens,GRC,True,False,Wrestling Freestyle,Wrestling,55 - 60kg,"INOUE, Kenji",Men,JPN,False,Bronze,0,0,1,1,28.0
2004,Athens,GRC,True,False,Wrestling Freestyle,Wrestling,55 - 60kg,"JOKAR, Masuod",Men,IRI,False,Silver,0,1,0,1,27.0
2004,Athens,GRC,True,False,Wrestling Greco-Roman,Wrestling,55 - 60kg,"JUNG, Ji-Hyun",Men,KOR,False,Gold,1,0,0,1,21.0
2004,Athens,GRC,True,False,Wrestling Greco-Roman,Wrestling,55 - 60kg,"MONZON, Roberto",Men,CUB,False,Silver,0,1,0,1,26.0
2004,Athens,GRC,True,False,Wrestling Greco-Roman,Wrestling,55 - 60kg,"NAZARIAN, Armen",Men,BUL,False,Bronze,0,0,1,1,30.0
2004,Athens,GRC,True,False,Wrestling Freestyle,Wrestling,55 - 60kg,"QUINTANA, Yandro Miguel",Men,CUB,False,Gold,1,0,0,1,24.0
2004,Athens,GRC,True,False,Boxing,Boxing,54 - 57kg,"JO, Seok-Hwan",Men,KOR,False,Bronze,0,0,1,1,
2004,Athens,GRC,True,False,Boxing,Boxing,54 - 57kg,"KIM, Song Guk",Men,PRK,False,Silver,0,1,0,1,20.0
2004,Athens,GRC,True,False,Boxing,Boxing,54 - 57kg,"TAJBERT, Vitali",Men,GER,False,Bronze,0,0,1,1,22.0
2004,Athens,GRC,True,False,Boxing,Boxing,54 - 57kg,"TISHCHENKO, Alexey",Men,RUS,False,Gold,1,0,0,1,20.0
2004,Athens,GRC,True,False,Boxing,Boxing,51 - 54kg,"MAMMADOV, Aghasi",Men,AZE,False,Bronze,0,0,1,1,24.0
2004,Athens,GRC,True,False,Boxing,Boxing,51 - 54kg,"PETCHKOOM, Worapoj",Men,THA,False,Silver,0,1,0,1,23.0
2004,Athens,GRC,True,False,Boxing,Boxing,51 - 54kg,"RIGONDEAUX, Guillermo",Men,CUB,False,Gold,1,0,0,1,24.0
2004,Athens,GRC,True,False,Boxing,Boxing,51 - 54kg,"SULTONOV, Bahodirjon",Men,UZB,False,Bronze,0,0,1,1,19.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m rifle prone,"EMMONS, Matthew",Men,USA,False,Gold,1,0,0,1,23.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m rifle prone,"LUSCH, Christian",Men,GER,False,Silver,0,1,0,1,23.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m rifle prone,"MARTYNOV, Sergei",Men,BLR,False,Bronze,0,0,1,1,36.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m rifle 3 positions,"ANTI, Michael",Men,USA,False,Silver,0,1,0,1,40.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m rifle 3 positions,"JIA, Zhanbo",Men,CHN,False,Gold,1,0,0,1,30.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m rifle 3 positions,"PLANER, Christian",Men,AUT,False,Bronze,0,0,1,1,29.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m pistol,"JIN, Jongoh",Men,KOR,False,Silver,0,1,0,1,25.0
2004,Athens,GRC,True,False,Shooting,Shooting,50m pistol,"KIM, Jong Su",Men,PRK,False,Bronze,0,0,1,1,27.0
2004,Athens,GRC,True,False,Swimming,Aquatics,50m freestyle,"DRAGANJA, Duje",Men,CRO,False,Silver,0,1,0,1,21.0
2004,Athens,GRC,True,False,Athletics,Athletics,50km walk,"KORZENIOWSKI, Robert",Men,POL,False,Gold,1,0,0,1,36.0
2004,Athens,GRC,True,False,Athletics,Athletics,50km walk,"NIZHEGORODOV, Denis",Men,RUS,False,Silver,0,1,0,1,24.0
2004,Athens,GRC,True,False,Athletics,Athletics,50km walk,"VOYEVODIN, Aleksey",Men,RUS,False,Bronze,0,0,1,1,34.0
2004,Athens,GRC,True,False,Athletics,Athletics,5000m,"ROTICH, Eliud Kipchoge",Men,KEN,False,Bronze,0,0,1,1,20.0
2004,Athens,GRC,True,False,Athletics,Athletics,4x400m relay,"AUDU, Musa",Men,NGR,False,Bronze,0,0,1,1,24.0
2004,Athens,GRC,True,False,Athletics,Athletics,4x400m relay,"DWYER, Patrick",Men,AUS,False,Silver,0,1,0,1,27.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x200m freestyle,"BREMBILLA, Emiliano",Men,ITA,False,Bronze,0,0,1,1,26.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x200m freestyle,"KLIM, Michael",Men,AUS,False,Silver,0,1,0,1,27.0
2004,Athens,GRC,True,False,Athletics,Athletics,4x100m relay,"CAMPBELL, Darren",Men,GBR,False,Gold,1,0,0,1,31.0
2004,Athens,GRC,True,False,Athletics,Athletics,4x100m relay,"DEJI, Aliu",Men,NGR,False,Bronze,0,0,1,1,29.0
2004,Athens,GRC,True,False,Athletics,Athletics,4x100m relay,"MILLER, Coby",Men,USA,False,Silver,0,1,0,1,28.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x100m medley,"CONRAD, Lars",Men,GER,False,Silver,0,1,0,1,28.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x100m medley,"GANGLOFF, Mark",Men,USA,False,Gold,1,0,0,1,22.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x100m medley,"OKUMURA, Yoshihiro",Men,JPN,False,Bronze,0,0,1,1,21.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x100m freestyle,"DUSING, Nate",Men,USA,False,Bronze,0,0,1,1,26.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x100m freestyle,"FERNS, Lyndon",Men,RSA,False,Gold,1,0,0,1,21.0
2004,Athens,GRC,True,False,Swimming,Aquatics,4x100m freestyle,"KENKHUIS, Johan",Men,NED,False,Silver,0,1,0,1,24.0
2004,Athens,GRC,True,False,Sailing,Sailing,49er,"DRAPER, Chris",Men,GBR,False,Bronze,0,0,1,1,26.0
2004,Athens,GRC,True,False,Sailing,Sailing,49er,"FERNANDEZ GAZTANAGA, Xabier",Men,ESP,False,Gold,1,0,0,1,28.0
2004,Athens,GRC,True,False,Sailing,Sailing,49er,"LEONCHUK, Georgii",Men,UKR,False,Silver,0,1,0,1,30.0
2004,Athens,GRC,True,False,Boxing,Boxing,48 - 51kg,"ASLANOV, Fuad",Men,AZE,False,Bronze,0,0,1,1,28.0
2004,Athens,GRC,True,False,Boxing,Boxing,48 - 51kg,"GAMBOA TOLEDANO, Yuriorkis",Men,CUB,False,Gold,1,0,0,1,23.0
2004,Athens,GRC,True,False,Boxing,Boxing,48 - 51kg,"RAHIMOV, Rustamhodza",Men,GER,False,Bronze,0,0,1,1,29.0
2004,Athens,GRC,True,False,Boxing,Boxing,48 - 51kg,"THOMAS, Jerome",Men,FRA,False,Silver,0,1,0,1,25.0
2004,Athens,GRC,True,False,Sailing,Sailing,470,"BURNHAM, Kevin",Men,USA,False,Gold,1,0,0,1,48.0
2004,Athens,GRC,True,False,Sailing,Sailing,470,"GLANFIELD, Joe",Men,GBR,False,Silver,0,1,0,1,25.0
2004,Athens,GRC,True,False,Sailing,Sailing,470,"SEKI, Kazuto",Men,JPN,False,Bronze,0,0,1,1,29.0
2004,Athens,GRC,True,False,Swimming,Aquatics,400m medley,"CSEH, Laszlo",Men,HUN,False,Bronze,0,0,1,1,52.0
2004,Athens,GRC,True,False,Swimming,Aquatics,400m medley,"VENDT, Erik",Men,USA,False,Silver,0,1,0,1,23.0
2004,Athens,GRC,True,False,Athletics,Athletics,400m hurdles,"KEITA, Naman",Men,FRA,False,Bronze,0,0,1,1,26.0
2004,Athens,GRC,True,False,Athletics,Athletics,400m hurdles,"MCFARLANE, Danny",Men,JAM,False,Silver,0,1,0,1,32.0
2004,Athens,GRC,True,False,Athletics,Athletics,400m hurdles,"SANCHEZ, Felix",Men,DOM,False,Gold,1,0,0,1,27.0
2004,Athens,GRC,True,False,Athletics,Athletics,400m,"BREW, Derrick",Men,USA,False,Bronze,1,0,1,2,27.0
2004,Athens,GRC,True,False,Athletics,Athletics,400m,"HARRIS, Otis",Men,USA,False,Silver,1,1,0,2,22.0
2004,Athens,GRC,True,False,Athletics,Athletics,400m,"WARINER, Jeremy",Men,USA,False,Gold,2,0,0,2,20.0
2004,Athens,GRC,True,False,Diving,Aquatics,3m springboard,"DESPATIE, Alexandre",Men,CAN,False,Silver,0,1,0,1,19.0
2004,Athens,GRC,True,False,Athletics,Athletics,3000m steeple,"KEMBOI, Ezekiel",Men,KEN,False,Gold,1,0,0,1,22.0
2004,Athens,GRC,True,False,Athletics,Athletics,3000m steeple,"KIPRUTO, Brimin Kiprop",Men,KEN,False,Silver,0,1,0,1,19.0
2004,Athens,GRC,True,False,Athletics,Athletics,3000m steeple,"KOECH, Paul Kipsiele",Men,KEN,False,Bronze,0,0,1,1,23.0
2004,Athens,GRC,True,False,Shooting,Shooting,25m rapid pistol,"ALIFIRENKO, Sergey",Men,RUS,False,Bronze,0,0,1,1,45.0
2004,Athens,GRC,True,False,Shooting,Shooting,25m rapid pistol,"POLIAKOV, Sergei",Men,RUS,False,Silver,0,1,0,1,36.0
2004,Athens,GRC,True,False,Shooting,Shooting,25m rapid pistol,"SCHUMANN, Ralf",Men,GER,False,Gold,1,0,0,1,42.0
2004,Athens,GRC,True,False,Athletics,Athletics,20km walk,"BRUGNETTI, Ivano",Men,ITA,False,Gold,1,0,0,1,28.0
2004,Athens,GRC,True,False,Athletics,Athletics,20km walk,"DEAKES, Nathan",Men,AUS,False,Bronze,0,0,1,1,27.0
2004,Athens,GRC,True,False,Athletics,Athletics,20km walk,"FERNANDEZ, Francisco Javier",Men,ESP,False,Silver,0,1,0,1,27.0
2004,Athens,GRC,True,False,Swimming,Aquatics,200m medley,"BOVELL, George Richard",Men,TTO,False,Bronze,0,0,1,1,21.0
2004,Athens,GRC,True,False,Swimming,Aquatics,200m medley,"LOCHTE, Ryan",Men,USA,False,Silver,1,1,0,2,20.0
2004,Athens,GRC,True,False,Swimming,Aquatics,200m butterfly,"PARRY, Stephen",Men,GBR,False,Bronze,0,0,1,1,27.0
2004,Athens,GRC,True,False,Swimming,Aquatics,200m butterfly,"YAMAMOTO, Takashi",Men,JPN,False,Silver,0,1,1,2,26.0
2004,Athens,GRC,True,False,Swimming,Aquatics,200m breaststroke,"GYURTA, Daniel",Men,HUN,False,Silver,0,1,0,1,15.0
2004,Athens,GRC,True,False,Swimming,Aquatics,200m backstroke,"FLOREA, Razvan Ionut",Men,ROU,False,Bronze,0,0,1,1,24.0
2004,Athens,GRC,True,False,Athletics,Athletics,200m,"CRAWFORD, Shawn",Men,USA,False,Gold,1,1,0,2,26.0
2004,Athens,GRC,True,False,Cycling Track,Cycling,1km time trial,"HOY, Chris",Men,GBR,False,Gold,1,0,0,1,28.0
2004,Athens,GRC,True,False,Cycling Track,Cycling,1km time trial,"NIMKE, Stefan",Men,GER,False,Bronze,1,0,1,2,26.0
2004,Athens,GRC,True,False,Cycling Track,Cycling,1km time trial,"TOURNANT, Arnaud",Men,FRA,False,Silver,0,1,1,2,26.0
