Country,Host_City,Year,Gender,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,Males,Females,Summer,Winter,Population_Density,Population,NOC_Males_Sent,NOC_Females_Sent,NOC_Total_Sent,Female_Representation,Male_Representation,Population_Representation,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share,norm_Population,norm_Population_Density,norm_Male_Representation,norm_Female_Representation,norm_Population_Representation,norm_Males,norm_Females
Netherlands,Barcelone,1992,Women,1,4,4,9,15,0.0017793594306049821,0.005257009345794392,0.004424778761061947,7513864.0,7670302.0,True,False,460.3583746470948,15184166.0,117.0,83.0,200.0,1.0820955941500086e-05,1.5571216088020758e-05,1.3171615747614983e-05,0.004151838671411625,0.02006092816764007,0.016284063750082303,0.010996509741301962,0.056313198267114346,0.018937924681865108,0.04516667009982136,0.02842360581654835,0.010561459945624513,0.011458955553441735
Netherlands,Beijing,2008,Men,1,1,2,4,7,0.0015015015015015015,0.00196174595389897,0.001734390485629336,8162204.0,8283389.0,True,False,498.60271967440553,16445593.0,141.0,99.0,240.0,1.1951629942768594e-05,1.727474588971312e-05,1.4593575312243226e-05,0.0035035035035035035,0.006192254767053274,0.005795588043336379,0.011911488283425392,0.06099931071316136,0.021011304187777424,0.04988610338111611,0.03149681294220085,0.011474149508933908,0.012376367216272598
Netherlands,Beijing,2008,Women,39,17,2,58,153,0.05855855855855856,0.028445316331535065,0.03790882061446977,8162204.0,8283389.0,True,False,498.60271967440553,16445593.0,141.0,99.0,240.0,1.1951629942768594e-05,1.727474588971312e-05,1.4593575312243226e-05,0.13663663663663664,0.11765284057401218,0.1468215637645216,0.011911488283425392,0.06099931071316136,0.021011304187777424,0.04988610338111611,0.03149681294220085,0.011474149508933908,0.012376367216272598
Netherlands,Calgary,1988,F,3,0,0,3,9,0.03409090909090909,0.011363636363636364,0.017045454545454544,7300007.0,7460087.0,False,True,447.5012248600507,14760094.0,6.0,5.0,11.0,6.702334704675696e-07,8.219170200795698e-07,7.452527063852032e-07,0.07954545454545454,0.04576170094894295,0.06548575429269855,0.010688908286508807,0.054737800660102566,0.0009864369041576151,0.0027975545057316357,0.0015671547653285187,0.010260406405906685,0.011144393847351098
Netherlands,Calgary,1988,M,0,2,2,4,6,0.0,0.015151515151515152,0.011363636363636364,7300007.0,7460087.0,False,True,447.5012248600507,14760094.0,6.0,5.0,11.0,6.702334704675696e-07,8.219170200795698e-07,7.452527063852032e-07,0.0,0.06170362957270762,0.043335192414947016,0.010688908286508807,0.054737800660102566,0.0009864369041576151,0.0027975545057316357,0.0015671547653285187,0.010260406405906685,0.011144393847351098
Netherlands,Grenoble,1968,F,2,1,2,5,10,0.030303030303030304,0.02512562814070352,0.02493765586034913,6349786.0,6379935.0,False,True,385.94373041436654,12729721.0,4.0,5.0,9.0,7.837070440372825e-07,6.299424894004302e-07,7.070068542743395e-07,0.07070707070707072,0.10368137127548496,0.0962534923622936,0.009216173259030581,0.04719510799107153,0.000752783194564841,0.0032711932018116173,0.001484495997697185,0.00892274902006374,0.009528075050132949
Netherlands,Grenoble,1968,M,1,2,1,4,8,0.015151515151515152,0.020100502512562814,0.0199501246882793,6349786.0,6379935.0,False,True,385.94373041436654,12729721.0,4.0,5.0,9.0,7.837070440372825e-07,6.299424894004302e-07,7.070068542743395e-07,0.03535353535353536,0.08253228003591774,0.07680960762172366,0.009216173259030581,0.04719510799107153,0.000752783194564841,0.0032711932018116173,0.001484495997697185,0.00892274902006374,0.009528075050132949
Netherlands,Innsbruck,1964,F,1,0,0,1,3,0.016666666666666666,0.005405405405405406,0.008064516129032258,6045069.0,6082051.0,False,True,367.6738816178824,12127120.0,4.0,2.0,6.0,3.2883644020742347e-07,6.616963346489511e-07,4.947588545343e-07,0.03888888888888889,0.020685478086696883,0.0304735758407687,0.008779075444839097,0.04495648772521359,0.0007914310491000468,0.0013725633014257854,0.0010257754535746013,0.008493788866960507,0.00908232712892322
Netherlands,Innsbruck,1964,M,0,1,0,1,2,0.0,0.005405405405405406,0.005376344086021506,6045069.0,6082051.0,False,True,367.6738816178824,12127120.0,4.0,2.0,6.0,3.2883644020742347e-07,6.616963346489511e-07,4.947588545343e-07,0.0,0.020685478086696883,0.01999374011366045,0.008779075444839097,0.04495648772521359,0.0007914310491000468,0.0013725633014257854,0.0010257754535746013,0.008493788866960507,0.00908232712892322
Netherlands,Innsbruck,1976,F,0,1,0,1,2,0.0,0.004761904761904762,0.004761904761904762,6861110.0,6912927.0,False,True,417.6056350838726,13774037.0,3.0,4.0,7.0,5.786261015051946e-07,4.3724703437198936e-07,5.082024972054308e-07,0.0,0.01797719677609593,0.01759834909032142,0.009973669912579437,0.05107466836611188,0.0005182520422823824,0.002415185347682682,0.0010548304980915997,0.009642556649192918,0.010325634086608275
Netherlands,Innsbruck,1976,M,1,1,3,5,8,0.014285714285714285,0.023809523809523808,0.01904761904761905,6861110.0,6912927.0,False,True,417.6056350838726,13774037.0,3.0,4.0,7.0,5.786261015051946e-07,4.3724703437198936e-07,5.082024972054308e-07,0.03333333333333333,0.09814232356988402,0.07329119038295387,0.009973669912579437,0.05107466836611188,0.0005182520422823824,0.002415185347682682,0.0010548304980915997,0.009642556649192918,0.010325634086608275
