Country,Host_City,Year,Education_Index,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share
China,Sydney,2000,0.477638889,39,23,17,79,180,0.05829596412556054,0.03914767096134787,0.0447427293064877,0.12512304495242263,0.12276917303279193,0.13080513080965428
China,Turin,2006,0.543902222,2,5,6,13,22,0.011363636363636364,0.02448210922787194,0.020735155513666354,0.024390243902439025,0.07619370247388152,0.0602282860561216
China,Vancouver,2010,0.598555556,9,3,8,20,41,0.05113636363636364,0.03780718336483932,0.038752362948960305,0.10975609756097562,0.11851199954565193,0.11319480666442916
Colombia,Athens,2004,0.566190427,0,0,2,2,2,0.0,0.0010030090270812437,0.0005040322580645161,0.0,0.0016278481257679567,0.0007533529570032945
Colombia,Barcelone,1992,0.4589511112,0,0,1,1,1,0.0,0.0005841121495327102,0.0002949852507374631,0.0,0.0002974988665952557,0.00013880196948436098
Colombia,Beijing,2008,0.603385205,0,1,2,3,4,0.0,0.0014713094654242277,0.0009910802775024777,0.0,0.003115095165816992,0.0021851641325943516
Colombia,London,2012,0.6022224110000001,1,3,4,8,13,0.0015772870662460567,0.00411522633744856,0.0033810143042912874,0.0033853966299915365,0.01151175085968584,0.009211030396110547
Colombia,Los Angeles,1984,0.4023599998,0,1,0,1,2,0.0,0.0006784260515603799,0.0006798096532970768,0.0,0.0005970246840863635,0.0012700987990266284
Colombia,Seoul,1988,0.42579555560000004,0,0,1,1,1,0.0,0.000646830530401035,0.000326477309826967,0.0,0.0004966823792845334,0.00023138151061206921
Colombia,Sydney,2000,0.536111111,1,0,0,1,3,0.0014947683109118087,0.0004955401387512388,0.0007457121551081282,0.0032082832039082724,1.6208374252268656e-05,0.0014638372700327559
Costa Rica,Atlanta,1996,0.5532985182,1,0,0,1,3,0.0016260162601626016,0.0005385029617662897,0.0008116883116883117,0.0034899861193733893,0.00015265140554084332,0.0016577922694249356
Costa Rica,Seoul,1988,0.4874755556,0,1,0,1,2,0.0,0.000646830530401035,0.000652954619653934,0.0,0.0004966823792845334,0.0011911510654222556
Costa Rica,Sydney,2000,0.584159259,0,0,2,2,2,0.0,0.0009910802775024777,0.0004971414367387521,0.0,0.0015899643314130334,0.0007330954986224648
Cote d'Ivoire,Los Angeles,1984,0.2146777776,0,1,0,1,2,0.0,0.0006784260515603799,0.0006798096532970768,0.0,0.0005970246840863635,0.0012700987990266284
Croatia,Athens,2004,0.6978620222,14,3,3,20,51,0.02127659574468085,0.010030090270812437,0.012852822580645162,0.04566683964711988,0.030296409503856033,0.037056007486437885
Croatia,Atlanta,1996,0.5736890414,16,13,0,29,74,0.026016260162601626,0.015616585891222402,0.02002164502164502,0.05583977790997423,0.048038223082122355,0.05813072635850384
Croatia,Barcelone,1992,0.519699433,0,12,3,15,27,0.0,0.008761682242990653,0.007964601769911504,0.0,0.026268149159647782,0.022685742325228794
Croatia,Beijing,2008,0.7365746259999999,0,2,3,5,7,0.0,0.0024521824423737125,0.001734390485629336,0.0,0.006230190331633984,0.004370328265188703
Croatia,London,2012,0.770334477,15,4,16,35,69,0.02365930599369085,0.01800411522633745,0.017945383615084524,0.05078094944987305,0.05562063310344172,0.05202698675436324
Croatia,Salt Lake City,2002,0.6768454065999999,3,1,0,4,11,0.018404907975460124,0.008316008316008316,0.011410788381742738,0.039503217118060756,0.0248527602886127,0.03281675263030355
Croatia,Sydney,2000,0.655828791,1,0,9,10,12,0.0014947683109118087,0.004955401387512388,0.002982848620432513,0.0032082832039082724,0.014180011988699151,0.008040513212725375
Croatia,Turin,2006,0.718697688,1,2,0,3,7,0.005681818181818182,0.005649717514124294,0.006597549481621112,0.012195121951219513,0.01638504858404305,0.018666917351358156
Croatia,Vancouver,2010,0.7600071190000001,0,2,1,3,5,0.0,0.005671077504725898,0.004725897920604915,0.0,0.01645288448637557,0.013164684481244231
Cuba,Athens,2004,0.7201288887999999,31,8,22,61,131,0.04711246200607903,0.030591775325977934,0.033014112903225805,0.10111943064719402,0.09559702153172331,0.09632564753449435
Cuba,Atlanta,1996,0.6284222224,39,8,10,57,143,0.06341463414634146,0.030694668820678513,0.03869047619047619,0.13610945865556218,0.09592379475870384,0.11301287357183407
Cuba,Barcelone,1992,0.6228955556,44,13,14,71,172,0.07829181494661921,0.04147196261682243,0.05073746312684366,0.16804096866591442,0.13015075033185788,0.14842829430918814
Cuba,Beijing,2008,0.8192200000000001,3,33,16,52,91,0.0045045045045045045,0.02550269740068661,0.02254707631318137,0.00966820479015601,0.07943492672833329,0.06555492397783055
Cuba,London,2012,0.742877778,5,3,7,15,28,0.007886435331230283,0.007716049382716049,0.007282184655396619,0.01692698314995768,0.02294738699695588,0.020679590134928233
Cuba,Moscow,1980,0.553177778,8,7,5,20,43,0.01762114537444934,0.014566642388929352,0.0157393850658858,0.037820994950037615,0.04470377101214502,0.045541849252469103
Cuba,Sydney,2000,0.660155556,22,35,12,69,148,0.03288490284005979,0.03419226957383548,0.03678846631866766,0.070582230485982,0.10703161346118428,0.10742139412452496
Cyprus,London,2012,0.776198377,0,1,0,1,2,0.0,0.00051440329218107,0.0005201560468140442,0.0,7.611472241579588e-05,0.000800753254310908
Czech Republic,Athens,2004,0.8366066668000001,1,6,6,13,21,0.001519756838905775,0.006519558676028084,0.005292338709677419,0.00326191711765142,0.019147524523488446,0.014829892468416705
